brand,source_catalogue,source_page,bearing_type,part_number,id_mm,od_mm,width_mm,notes
NSK,NSK Bearing Catalogue,3,Unknown,FeaturesandOperatingTemperatureRangeofBallBearing,016,018,10,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,4,Deep Groove Ball Bearing,16064,60,6000,6040,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,4,Deep Groove Ball Bearing,6272,63,6300,6332,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,4,Deep Groove Ball Bearing,6356,2,006,6,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,5,Deep Groove Ball Bearing,6208,4,30,120,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,8,Deep Groove Ball Bearing,6320,12.5,18,11.5,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,9,Deep Groove Ball Bearing,FeaturesandOperatingTemperatureRange,1,2,1,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,10,Deep Groove Ball Bearing,1030,1,140,1,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,10,Deep Groove Ball Bearing,1140,1,410,019,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,Factor,1,2,3,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,2970,1,270,14.0,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,5050,1,970,12.4,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,5600,2,390,13.2,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,8900,3,450,11.2,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,6300,12,21,5,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,2110,1,040,15.3,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,3200,1,460,14.5,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,5600,2,370,13.0,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,7500,3,050,12.3,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,10700,4,200,11.1,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,6301,15,24,5,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,2280,1,260,15.8,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,4750,2,260,14.3,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,6150,2,840,13.9,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,8400,3,750,13.2,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,12600,5,450,12.3,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,6302,17,26,5,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,2890,1,570,15.7,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,5050,2,550,14.7,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,6600,3,250,14.4,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,10500,4,800,13.2,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
NSK,NSK Bearing Catalogue,11,Deep Groove Ball Bearing,15000,6,650,12.4,Auto-extracted from parsed PDF text; verify critical dimensions against catalogue.
